"","genenames"
"1","FO538757.2"
"2","AP006222.2"
"3","RP4-669L17.10"
"4","RP11-206L10.9"
"5","LINC00115"
"6","FAM41C"
"7","SAMD11"
"8","NOC2L"
"9","KLHL17"
"10","PLEKHN1"
"11","HES4"
"12","ISG15"
"13","AGRN"
"14","C1orf159"
"15","TNFRSF18"
"16","TNFRSF4"
"17","SDF4"
"18","B3GALT6"
"19","FAM132A"
"20","RP5-902P8.12"
"21","UBE2J2"
"22","SCNN1D"
"23","ACAP3"
"24","PUSL1"
"25","CPSF3L"
"26","CPTP"
"27","TAS1R3"
"28","DVL1"
"29","MXRA8"
"30","AURKAIP1"
"31","CCNL2"
"32","MRPL20"
"33","RP4-758J18.13"
"34","ANKRD65"
"35","ATAD3C"
"36","ATAD3B"
"37","ATAD3A"
"38","SSU72"
"39","RP5-832C2.5"
"40","C1orf233"
"41","RP11-345P4.9"
"42","MIB2"
"43","MMP23B"
"44","CDK11B"
"45","RP11-345P4.10"
"46","SLC35E2B"
"47","RP11-345P4.7"
"48","CDK11A"
"49","SLC35E2"
"50","NADK"
"51","GNB1"
"52","TMEM52"
"53","PRKCZ"
"54","RP5-892K4.1"
"55","RP11-181G12.2"
"56","FAAP20"
"57","SKI"
"58","MORN1"
"59","RER1"
"60","PEX10"
"61","PLCH2"
"62","PANK4"
"63","HES5"
"64","RP3-395M20.12"
"65","RP3-395M20.8"
"66","TNFRSF14"
"67","RP3-395M20.9"
"68","FAM213B"
"69","MMEL1"
"70","TTC34"
"71","PRDM16"
"72","MEGF6"
"73","TPRG1L"
"74","WRAP73"
"75","TP73-AS1"
"76","SMIM1"
"77","LRRC47"
"78","CEP104"
"79","DFFB"
"80","C1orf174"
"81","LINC01134"
"82","AJAP1"
"83","NPHP4"
"84","KCNAB2"
"85","RPL22"
"86","RNF207"
"87","ICMT"
"88","GPR153"
"89","ACOT7"
"90","RP1-202O8.3"
"91","HES2"
"92","ESPN"
"93","TNFRSF25"
"94","PLEKHG5"
"95","NOL9"
"96","ZBTB48"
"97","KLHL21"
"98","PHF13"
"99","THAP3"
"100","DNAJC11"
"101","RP11-312B8.1"
"102","CAMTA1"
"103","VAMP3"
"104","PER3"
"105","UTS2"
"106","TNFRSF9"
"107","PARK7"
"108","ERRFI1"
"109","RERE"
"110","RP5-1115A15.1"
"111","ENO1"
"112","ENO1-AS1"
"113","CA6"
"114","SLC2A5"
"115","GPR157"
"116","H6PD"
"117","SPSB1"
"118","SLC25A33"
"119","TMEM201"
"120","PIK3CD"
"121","PIK3CD-AS1"
"122","PIK3CD-AS2"
"123","CLSTN1"
"124","CTNNBIP1"
"125","LZIC"
"126","NMNAT1"
"127","RBP7"
"128","UBE4B"
"129","KIF1B"
"130","PGD"
"131","APITD1-CORT"
"132","APITD1"
"133","DFFA"
"134","PEX14"
"135","CASZ1"
"136","C1orf127"
"137","TARDBP"
"138","RP4-635E18.8"
"139","SRM"
"140","EXOSC10"
"141","RP4-635E18.7"
"142","RP4-635E18.6"
"143","MTOR"
"144","UBIAD1"
"145","FBXO2"
"146","FBXO44"
"147","FBXO6"
"148","MAD2L2"
"149","DRAXIN"
"150","AGTRAP"
"151","C1orf167"
"152","MTHFR"
"153","CLCN6"
"154","NPPA-AS1"
"155","KIAA2013"
"156","PLOD1"
"157","MFN2"
"158","MIIP"
"159","TNFRSF8"
"160","TNFRSF1B"
"161","VPS13D"
"162","DHRS3"
"163","PRDM2"
"164","KAZN"
"165","TMEM51"
"166","RP3-467K16.4"
"167","EFHD2"
"168","CASP9"
"169","DNAJC16"
"170","RP4-680D5.8"
"171","AGMAT"
"172","DDI2"
"173","PLEKHM2"
"174","SLC25A34"
"175","FBLIM1"
"176","UQCRHL"
"177","FLJ37453"
"178","SPEN"
"179","ZBTB17"
"180","EPHA2"
"181","ARHGEF19"
"182","RSG1"
"183","FBXO42"
"184","SZRD1"
"185","SPATA21"
"186","NECAP2"
"187","RP4-798A10.2"
"188","RP4-798A10.7"
"189","NBPF1"
"190","CROCC"
"191","RP11-108M9.4"
"192","RP11-108M9.6"
"193","MFAP2"
"194","ATP13A2"
"195","SDHB"
"196","PADI2"
"197","PADI4"
"198","PADI6"
"199","RCC2"
"200","ARHGEF10L"
"201","ALDH4A1"
"202","IFFO2"
"203","UBR4"
"204","RP1-43E13.2"
"205","EMC1"
"206","MRTO4"
"207","AKR7A2"
"208","PQLC2"
"209","CAPZB"
"210","MINOS1"
"211","NBL1"
"212","TMCO4"
"213","OTUD3"
"214","PLA2G2D"
"215","UBXN10-AS1"
"216","UBXN10"
"217","CAMK2N1"
"218","MUL1"
"219","CDA"
"220","PINK1"
"221","PINK1-AS"
"222","DDOST"
"223","KIF17"
"224","HP1BP3"
"225","EIF4G3"
"226","ECE1"
"227","RP5-1071N3.1"
